Local time,Ask,Bid,AskVolume,BidVolume
09.04.2018 09:30:00.045 GMT-0400,169.89200000000002,169.798,55,13
09.04.2018 09:30:00.524 GMT-0400,170.083,169.98700000000002,290,150
09.04.2018 09:30:00.827 GMT-0400,170.019,169.99200000000002,200,7499.9998
09.04.2018 09:30:00.903 GMT-0400,170.012,169.968,200,82
09.04.2018 09:30:01.382 GMT-0400,170.012,169.96099999999998,200,7499.9998
09.04.2018 09:30:01.517 GMT-0400,170.003,169.96099999999998,220,7499.9998
09.04.2018 09:30:02.032 GMT-0400,170.063,169.986,10200.0004,82
09.04.2018 09:30:02.191 GMT-0400,170.063,170.01700000000002,100,150
09.04.2018 09:30:02.291 GMT-0400,170.103,170.047,1480,75
09.04.2018 09:30:02.521 GMT-0400,170.103,170.01700000000002,1480,75
09.04.2018 09:30:03.164 GMT-0400,170.102,170.028,11500,7499.9998
09.04.2018 09:30:03.496 GMT-0400,170.102,170.03799999999998,12000.0001,82
09.04.2018 09:30:04.042 GMT-0400,170.103,170.037,12000.0001,75
09.04.2018 09:30:04.194 GMT-0400,170.103,170.037,1510,150
09.04.2018 09:30:04.433 GMT-0400,170.092,170.03799999999998,370,150
09.04.2018 09:30:04.835 GMT-0400,170.103,170.05700000000002,1429.9999,230
09.04.2018 09:30:04.886 GMT-0400,170.103,170.037,1429.9999,220
09.04.2018 09:30:05.028 GMT-0400,170.103,170.048,1429.9999,7499.9998
09.04.2018 09:30:05.412 GMT-0400,170.08200000000002,170.048,60,7499.9998
09.04.2018 09:30:05.463 GMT-0400,170.103,170.048,1030,7499.9998
09.04.2018 09:30:05.516 GMT-0400,170.073,170.048,110,7499.9998
09.04.2018 09:30:05.702 GMT-0400,170.107,170.048,9999.9998,7499.9998
09.04.2018 09:30:05.753 GMT-0400,170.103,170.01700000000002,11500,150
09.04.2018 09:30:06.712 GMT-0400,170.093,170.01700000000002,200,150
09.04.2018 09:30:07.440 GMT-0400,170.092,170.018,370,75
09.04.2018 09:30:08.136 GMT-0400,170.093,170.02700000000002,370,75
09.04.2018 09:30:08.715 GMT-0400,170.092,170.028,370,300
09.04.2018 09:30:09.327 GMT-0400,170.093,170.02700000000002,370,970
09.04.2018 09:30:09.636 GMT-0400,170.11200000000002,170.093,5,7499.9998
09.04.2018 09:30:09.737 GMT-0400,170.15200000000002,170.09799999999998,10499.9999,160
09.04.2018 09:30:09.845 GMT-0400,170.172,170.138,10099.9996,64
09.04.2018 09:30:09.896 GMT-0400,170.172,170.127,100,7499.9998
09.04.2018 09:30:10.456 GMT-0400,170.173,170.127,100,7499.9998
09.04.2018 09:30:10.850 GMT-0400,170.173,170.097,100,170
09.04.2018 09:30:11.301 GMT-0400,170.172,170.108,100,75
09.04.2018 09:30:11.656 GMT-0400,170.192,170.108,200,150
09.04.2018 09:30:11.710 GMT-0400,170.19299999999998,170.11700000000002,10200.0004,1120
09.04.2018 09:30:12.226 GMT-0400,170.192,170.118,220,1200.0001
09.04.2018 09:30:12.748 GMT-0400,170.172,170.108,10200.0004,150
09.04.2018 09:30:12.979 GMT-0400,170.16299999999998,170.102,10300.0002,7499.9998
09.04.2018 09:30:13.318 GMT-0400,170.19299999999998,170.11700000000002,10300.0002,110
09.04.2018 09:30:14.044 GMT-0400,170.18200000000002,170.118,10099.9996,150
09.04.2018 09:30:14.551 GMT-0400,170.183,170.11700000000002,180,370
09.04.2018 09:30:15.247 GMT-0400,170.18200000000002,170.118,140,750
09.04.2018 09:30:15.298 GMT-0400,170.22299999999998,170.20700000000002,300,75
09.04.2018 09:30:15.349 GMT-0400,170.213,170.188,300,7499.9998
09.04.2018 09:30:16.174 GMT-0400,170.21200000000002,170.188,220,7499.9998
09.04.2018 09:30:16.387 GMT-0400,170.21200000000002,170.128,220,250
09.04.2018 09:30:17.376 GMT-0400,170.21200000000002,170.187,220,7499.9998
09.04.2018 09:30:17.675 GMT-0400,170.30200000000002,170.248,800,75
09.04.2018 09:30:17.725 GMT-0400,170.30200000000002,170.258,800,900
09.04.2018 09:30:17.914 GMT-0400,170.303,170.247,800,7499.9998
09.04.2018 09:30:18.553 GMT-0400,170.30200000000002,170.247,800,7499.9998
09.04.2018 09:30:18.676 GMT-0400,170.30200000000002,170.208,800,370
09.04.2018 09:30:19.082 GMT-0400,170.293,170.20700000000002,100,370
09.04.2018 09:30:19.679 GMT-0400,170.292,170.208,200,450
09.04.2018 09:30:20.213 GMT-0400,170.33200000000002,170.28799999999998,10300.0002,150
09.04.2018 09:30:20.804 GMT-0400,170.353,170.30700000000002,830,150
09.04.2018 09:30:21.114 GMT-0400,170.353,170.31799999999998,830,7499.9998
09.04.2018 09:30:21.198 GMT-0400,170.393,170.33700000000002,450,75
09.04.2018 09:30:21.354 GMT-0400,170.39200000000002,170.34799999999998,450,220
