Local time,Ask,Bid,AskVolume,BidVolume
13.04.2018 09:30:00.548 GMT-0400,174.923,174.86700000000002,65,9
13.04.2018 09:30:00.599 GMT-0400,174.922,174.84799999999998,65,40
13.04.2018 09:30:00.650 GMT-0400,174.903,174.817,100,60
13.04.2018 09:30:00.962 GMT-0400,174.912,174.81799999999998,100,60
13.04.2018 09:30:01.013 GMT-0400,174.91299999999998,174.83700000000002,100,110
13.04.2018 09:30:01.165 GMT-0400,174.89200000000002,174.798,100,100
13.04.2018 09:30:01.490 GMT-0400,174.842,174.81799999999998,100,110
13.04.2018 09:30:01.541 GMT-0400,174.89200000000002,174.798,100,2009.9999
13.04.2018 09:30:01.890 GMT-0400,174.93200000000002,174.858,290,9
13.04.2018 09:30:01.941 GMT-0400,174.933,174.847,200,110
13.04.2018 09:30:03.758 GMT-0400,174.863,174.808,63,7499.9998
13.04.2018 09:30:04.260 GMT-0400,174.912,174.822,63,7499.9998
13.04.2018 09:30:04.521 GMT-0400,174.853,174.798,63,2120.0001
13.04.2018 09:30:05.028 GMT-0400,174.947,174.868,63,1
13.04.2018 09:30:05.552 GMT-0400,174.952,174.868,5,76
13.04.2018 09:30:06.169 GMT-0400,174.953,174.86700000000002,5,76
13.04.2018 09:30:06.521 GMT-0400,174.93200000000002,174.878,110,7499.9998
13.04.2018 09:30:07.085 GMT-0400,174.933,174.878,110,7499.9998
13.04.2018 09:30:07.303 GMT-0400,174.93200000000002,174.868,100,78
13.04.2018 09:30:07.943 GMT-0400,174.933,174.86700000000002,100,300
13.04.2018 09:30:09.314 GMT-0400,174.94299999999998,174.89700000000002,63,7
13.04.2018 09:30:09.390 GMT-0400,174.953,174.89700000000002,5,7
13.04.2018 09:30:09.444 GMT-0400,174.953,174.86700000000002,5,230
13.04.2018 09:30:10.131 GMT-0400,174.952,174.868,5,230
13.04.2018 09:30:10.415 GMT-0400,174.953,174.877,5,220
13.04.2018 09:30:10.808 GMT-0400,174.942,174.92700000000002,110,7499.9998
13.04.2018 09:30:11.490 GMT-0400,174.94299999999998,174.877,110,380
13.04.2018 09:30:11.608 GMT-0400,174.953,174.928,63,75
13.04.2018 09:30:11.658 GMT-0400,174.993,174.937,95,150
13.04.2018 09:30:11.769 GMT-0400,175.002,174.958,129999.9952,82
13.04.2018 09:30:11.820 GMT-0400,175.002,174.938,129999.9952,220
13.04.2018 09:30:12.502 GMT-0400,174.99200000000002,174.938,110,270
13.04.2018 09:30:12.823 GMT-0400,175.002,174.968,110,37
13.04.2018 09:30:13.587 GMT-0400,174.993,174.947,110,7499.9998
13.04.2018 09:30:13.835 GMT-0400,175.003,174.928,110,7499.9998
