Local time,Ask,Bid,AskVolume,BidVolume
10.04.2018 09:30:00.057 GMT-0400,173.15200000000002,173.088,100,100
10.04.2018 09:30:00.591 GMT-0400,173.02200000000002,172.948,100,250
10.04.2018 09:30:00.897 GMT-0400,173.003,172.947,63,160
10.04.2018 09:30:01.244 GMT-0400,173.02200000000002,172.99200000000002,100,7499.9998
10.04.2018 09:30:01.395 GMT-0400,173.033,172.99200000000002,120,7499.9998
10.04.2018 09:30:01.445 GMT-0400,173.053,173.02700000000002,10999.9999,75
10.04.2018 09:30:01.496 GMT-0400,173.033,172.99200000000002,100,7499.9998
10.04.2018 09:30:01.596 GMT-0400,173.05200000000002,172.99200000000002,10999.9999,7499.9998
10.04.2018 09:30:02.025 GMT-0400,173.023,172.99200000000002,100,7499.9998
10.04.2018 09:30:02.077 GMT-0400,173.02200000000002,172.978,200,10
10.04.2018 09:30:02.178 GMT-0400,173.05200000000002,172.978,10900.0001,75
10.04.2018 09:30:02.228 GMT-0400,173.032,172.978,110,75
10.04.2018 09:30:02.540 GMT-0400,173.05200000000002,172.978,10900.0001,150
10.04.2018 09:30:02.668 GMT-0400,173.05200000000002,172.998,690,7499.9998
10.04.2018 09:30:03.045 GMT-0400,173.053,172.977,10900.0001,150
10.04.2018 09:30:03.807 GMT-0400,173.05200000000002,172.998,10999.9999,75
10.04.2018 09:30:04.044 GMT-0400,173.053,172.997,840,75
10.04.2018 09:30:04.208 GMT-0400,173.053,172.977,840,220
10.04.2018 09:30:04.258 GMT-0400,173.053,172.977,11099.9998,220
10.04.2018 09:30:05.188 GMT-0400,173.05200000000002,172.978,11099.9998,220
10.04.2018 09:30:05.290 GMT-0400,173.053,172.997,840,130
10.04.2018 09:30:05.580 GMT-0400,173.05200000000002,173.008,120,220
10.04.2018 09:30:05.680 GMT-0400,173.063,173.008,41,7499.9998
10.04.2018 09:30:06.043 GMT-0400,173.063,173.007,9999.9998,75
10.04.2018 09:30:06.172 GMT-0400,173.043,172.997,410,130
10.04.2018 09:30:06.824 GMT-0400,173.042,172.998,410,140
10.04.2018 09:30:07.043 GMT-0400,173.063,172.997,140,140
10.04.2018 09:30:07.539 GMT-0400,173.063,173.02700000000002,260,75
10.04.2018 09:30:07.851 GMT-0400,173.053,173.02700000000002,140,150
10.04.2018 09:30:08.561 GMT-0400,173.063,173.037,410,7
10.04.2018 09:30:08.611 GMT-0400,173.083,173.037,9999.9998,380
