Local time,Ask,Bid,AskVolume,BidVolume
11.04.2018 09:30:00.403 GMT-0400,171.89200000000002,171.798,1090,250
11.04.2018 09:30:00.554 GMT-0400,172.08200000000002,171.998,100,33100.0015
11.04.2018 09:30:03.688 GMT-0400,172.30200000000002,172.218,9999.9998,7499.9998
11.04.2018 09:30:04.708 GMT-0400,172.102,172.03,62,7499.9998
11.04.2018 09:30:05.005 GMT-0400,172.092,172.002,5,7499.9998
11.04.2018 09:30:05.257 GMT-0400,172.023,171.997,33,5640.0001
11.04.2018 09:30:05.461 GMT-0400,171.99200000000002,171.977,100,7499.9998
11.04.2018 09:30:05.512 GMT-0400,171.993,171.938,30,7499.9998
11.04.2018 09:30:05.720 GMT-0400,171.963,171.938,100,7499.9998
11.04.2018 09:30:05.770 GMT-0400,171.963,171.888,30,7499.9998
11.04.2018 09:30:05.821 GMT-0400,171.96200000000002,171.898,30,75
11.04.2018 09:30:05.966 GMT-0400,171.963,171.888,30,7499.9998
11.04.2018 09:30:06.726 GMT-0400,171.96200000000002,171.878,33,390
11.04.2018 09:30:06.875 GMT-0400,171.86200000000002,171.81799999999998,100,1030
11.04.2018 09:30:07.193 GMT-0400,171.86200000000002,171.827,100,7499.9998
11.04.2018 09:30:07.344 GMT-0400,171.86200000000002,171.81799999999998,100,370
11.04.2018 09:30:08.084 GMT-0400,171.863,171.817,10099.9996,600
11.04.2018 09:30:08.941 GMT-0400,171.86200000000002,171.81799999999998,100,120
11.04.2018 09:30:09.411 GMT-0400,171.842,171.80700000000002,62,820
11.04.2018 09:30:10.179 GMT-0400,171.842,171.797,62,130
11.04.2018 09:30:10.303 GMT-0400,171.823,171.78799999999998,10,7499.9998
11.04.2018 09:30:10.403 GMT-0400,171.822,171.747,100,9999.9998
11.04.2018 09:30:10.454 GMT-0400,171.803,171.747,100,9999.9998
11.04.2018 09:30:11.259 GMT-0400,171.822,171.747,100,9999.9998
11.04.2018 09:30:11.310 GMT-0400,171.773,171.73700000000002,100,7499.9998
11.04.2018 09:30:11.398 GMT-0400,171.799,171.73700000000002,62,7499.9998
11.04.2018 09:30:11.790 GMT-0400,171.77200000000002,171.73700000000002,1,7499.9998
11.04.2018 09:30:12.285 GMT-0400,171.773,171.727,100,75
11.04.2018 09:30:12.399 GMT-0400,171.752,171.717,10,7499.9998
11.04.2018 09:30:12.600 GMT-0400,171.74200000000002,171.698,10,1110
11.04.2018 09:30:13.559 GMT-0400,171.743,171.697,11,1110
11.04.2018 09:30:14.599 GMT-0400,171.752,171.70700000000002,62,75
11.04.2018 09:30:15.090 GMT-0400,171.752,171.717,62,370
11.04.2018 09:30:15.559 GMT-0400,171.773,171.717,100,370
11.04.2018 09:30:15.651 GMT-0400,171.753,171.717,50,370
11.04.2018 09:30:15.702 GMT-0400,171.77200000000002,171.718,100,370
